name,price,description,image_url
Adana Dürüm Menü,155 TL,Adana Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://images.deliveryhero.io/image/fd-tr/Products/34362742.jpg?width=187.5&height=187.5
2'li Lahmacun Menü,280 TL,2 Adet Lahmacun + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://images.deliveryhero.io/image/fd-tr/Products/34224108.jpg?width=187.5&height=187.5
İskender (Et Dönerden),295 TL,"Sos, yoğurt. Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kıymalı Pide,175 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kıymalı Kaşarlı Pide,195 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Adana Kebap,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
2'li Lahmacun Menü,280 TL,2 Adet Lahmacun + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
10'lu Lahmacun Menü,1.400 TL,"10 Adet Lahmacun (Haydari, ezme, salata, çiğ köfte ile) + İçecek (2,5 L.)",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Çocuk Menüsü (Köfte),295 TL,Köfte + Patates Kızartması + Haydari + Ezme + Salata + Çiğ Köfte + Pilav + Cappy (33 cl.),N/A
Çocuk Menüsü (Tavuk Şiş),295 TL,Tavuk Şiş + Patates Kızartması + Pilav + Haydari + Ezme + Salata + Çiğ Köfte + Cappy (33 cl.),N/A
Urfa Dürüm Menü,155 TL,Urfa Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Ciğer Şiş Dürüm Menü,175 TL,Ciğer Şiş Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Tavuk Şiş Dürüm Menü,155 TL,Tavuk Şiş Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Köfte Şiş Dürüm Menü,155 TL,Köfte Şiş Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Double Urfa Dürüm Menü,295 TL,Double Urfa Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Double Köfte Dürüm Menü,295 TL,Double Köfte Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Double Tavuk Şiş Dürüm Menü,295 TL,Double Tavuk Şiş Dürüm (İsteğe göre soğan) + Haydari + Ezme + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Et Döner Dürüm Menü,155 TL,Et Döner Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Double Adana Dürüm Menü,295 TL,Double Adana Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Adana Dürüm Menü,155 TL,Adana Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),https://micro-assets.foodora.com/img/logo-simple-ys.svg
Et Şiş Dürüm Menü,175 TL,Et Şiş Dürüm + Haydari + Ezme + Çiğ Köfte + Ayran (17 cl.),N/A
Double Et Döner Dürüm Menü,295 TL,Double Et Döner Dürüm (İsteğe göre soğan) + Haydari + Ezme + Salata + Çiğ Köfte + Ayran (17 cl.),N/A
Ayak Paça Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Tavuk Suyu Çorba,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Ezogelin Çorbası,130 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Mercimek Çorbası,130 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
İşkembe Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kelle Paça Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Tuzlama Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
