title,category,brand_name,short_description,product_url,image_url,social_proof,rating_score,review_count,price,badges
Moisture Surge 100,Yüz Kremi,Clinique,Saat Etkili Nemlendirici 50 ml,https://www.trendyol.com/clinique/moisture-surge-100-saat-etkili-nemlendirici-50-ml-p-91527199?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1409/product/media/images/prod/QC/20240708/16/5f9523a6-f17f-312d-831e-4ea04d2ff988/1_org.jpg,60.2B kişifavoriledi!3 günde781 kişiekledi!60.2B kişifavoriledi!,4.7,1873,"1.659,66 TL",['Birlikte Al Kazan']
Moisture Surge™,Yüz Kremi,Clinique,Intense72 Saat Nem Koruma Teknolojili Nemlendirici 75ml 192333042816 79628,https://www.trendyol.com/clinique/moisture-surge-intense72-saat-nem-koruma-teknolojili-nemlendirici-75ml-192333042816-79628-p-73714011?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1409/product/media/images/prod/QC/20240708/16/4374d6a5-cde4-39eb-a59c-e38ddb57e246/1_org.jpg,9487 kişifavoriledi!9487 kişifavoriledi!,4.7,397,"2.180,40 TL",['Birlikte Al Kazan']
Smart Clinical,Yüz Kremi,Clinique,Repair™ Lifting Etkili Yüz Boyun Nemlendirici 50ml,https://www.trendyol.com/clinique/smart-clinical-repair-lifting-etkili-yuz-boyun-nemlendirici-50ml-p-764993363?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1396/product/media/images/prod/QC/20240702/09/7b2efe6a-43aa-309b-8146-69bf1edc8cdd/1_org.jpg,856 kişifavoriledi!856 kişifavoriledi!,4.7,6,"4.259,40 TL",['Birlikte Al Kazan']
Ferahlatan Jel,Yüz Kremi,Estee Lauder,Nemlendirici - Day Wear Sorbet 72 Saat Etkili Jel Dokulu Krem SPF15 - 50 ml,https://www.trendyol.com/estee-lauder/ferahlatan-jel-nemlendirici-day-wear-sorbet-72-saat-etkili-jel-dokulu-krem-spf15-50-ml-p-24804359?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/11bb27aa-dde7-3773-9ef9-2a89d2c9f570/1_org.jpg,2731 kişifavoriledi!2731 kişifavoriledi!,4.8,124,"2.392,85 TL",['Birlikte Al Kazan']
Moisture Surge spf,Yüz Kremi,Clinique,25 Güneş Korumalı Nemlendirici 50 Ml pro-vit d Vitamini Ve Aloe Bioferment Ha E,https://www.trendyol.com/clinique/moisture-surge-spf-25-gunes-korumali-nemlendirici-50-ml-pro-vit-d-vitamini-ve-aloe-bioferment-ha-e-p-688438739?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1408/product/media/images/prod/QC/20240708/16/385df4e5-f443-30a1-a8b2-639fe8fbfe74/1_org.jpg,3881 kişifavoriledi!3881 kişifavoriledi!,4.5,73,"1.833,50 TL",['Birlikte Al Kazan']
Nemlendirici,Yüz Kremi,Estee Lauder,Krem - Revitalizing Supreme Çok Amaçlı Yaşlanma Karşıtı 75ml,https://www.trendyol.com/estee-lauder/nemlendirici-krem-revitalizing-supreme-cok-amacli-yaslanma-karsiti-75ml-p-247238969?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/7b67ba29-73a0-3016-b488-f31fe3656395/1_org.jpg,6834 kişifavoriledi!6834 kişifavoriledi!,4.7,248,"6.060,80 TL",['Birlikte Al Kazan']
Nemlendirici,Yüz Kremi,Estee Lauder,Krem - Revitalizing Supreme Çok Amaçlı Yaşlanma Karşıtı 30ml,https://www.trendyol.com/estee-lauder/nemlendirici-krem-revitalizing-supreme-cok-amacli-yaslanma-karsiti-30ml-p-247464648?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1408/product/media/images/prod/QC/20240708/16/58c78e1c-126a-34bd-a986-004c6f1e9e96/1_org.jpg,2914 kişifavoriledi!2914 kişifavoriledi!,4.9,56,"3.714,50 TL",['Birlikte Al Kazan']
Nightwear Plus,Yüz Kremi,Estee Lauder,Anti-oksidan Içeren Nemlendirici Gece Bakım Kremi 50ml,https://www.trendyol.com/estee-lauder/nightwear-plus-anti-oksidan-iceren-nemlendirici-gece-bakim-kremi-50ml-p-1177566?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1409/product/media/images/prod/QC/20240708/16/c4898766-ef8e-3a30-a99f-f834c3734e53/1_org.jpg,4280 kişifavoriledi!4280 kişifavoriledi!,4.8,130,"2.754,50 TL",['Birlikte Al Kazan']
Resilience,Yüz Kremi,Estee Lauder,Multi-effect Night Sıkılaştırıcı Gece Kremi - 50ml,https://www.trendyol.com/estee-lauder/resilience-multi-effect-night-sikilastirici-gece-kremi-50ml-p-3134253?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/dea69d3a-7740-30fc-8720-561b50ce1aba/1_org.jpg,1602 kişifavoriledi!1602 kişifavoriledi!,4.8,40,"5.778,65 TL",['Birlikte Al Kazan']
Hafif Yapılı,Yüz Kremi,Estee Lauder,Nemlendirici Krem - Revitalizing Supreme Soft Yaşlanma Karşıtı 30ml,https://www.trendyol.com/estee-lauder/hafif-yapili-nemlendirici-krem-revitalizing-supreme-soft-yaslanma-karsiti-30ml-p-247237194?boutiqueId=61&merchantId=105012&filterOverPriceListings=false&sav=true,https://cdn.dsmcdn.com/ty1391/product/media/images/prod/QC/20240630/05/3d2abe47-5322-37bf-b551-dd56ffad02dc/1_org.jpg,1362 kişifavoriledi!1362 kişifavoriledi!,4.8,27,"3.714,50 TL",['Birlikte Al Kazan']
